MaxCD,TN,TP,Precip
,,,0.933472079
,,,0.530374041
,,,-1.222992289
,,,1.929102206
,,,1.57226132
,,,-0.850732352
,,,-0.377147225
,,,0.054586193
,,,-0.352917288
,,,-0.899192225
,,,0.523765876
,,,-1.480710707
,,,-0.863948681
,,,-0.260402985
,,,-0.269213871
,,,2.294753978
,,,1.204406826
,,,0.043572585
,,,1.197798661
,,,1.047707914
,,,-1.315841693
,,,-0.189679821
,,,0.821283834
,,,-0.477675362
,,,-0.106260424
,,,0.408159197
,,,0.479661538
,,,-0.777587959
,,,-0.378366555
,,,-0.207555407
,,,3.343727533
,,,-1.540279597
,,,-0.366449498
,,,-0.757726198
,,,-1.64157458
,,,0.974219397
,,,0.404186845
,,,-0.725947379
,,,-0.269126867
,,,0.237348049
,,,-0.644514158
,,,-0.612735339
,,,0.652458862
,,,0.110232776
,,,-0.807380601
,,,-0.580956521
,,,-0.527329765
,,,1.637602228
,,,-0.227417168
,,,0.980177925
,,,1.057638795
,,,-0.41600828
,,,-0.202046469
,,,0.077749745
,,,-0.673859693
,,,-0.972857608
,,,1.106412296
,,,-0.042946662
,,,-1.258140022
,,,-0.588823589
,,,0.341087358
,,,-0.106037965
,,,0.113410046
,,,-1.000288609
,,,-0.40503588
,,,0.299940856
,,,-0.712263095
,,,1.1832191
,,,-0.555906387
,,,1.054293393
,,,-0.333715276
,,,-1.395295029
,,,-1.260883122
,,,0.925367687
,,,-0.045689762
,,,-1.074352313
,,,-0.177358568
,,,2.157019649
,,,-0.522989186
,,,1.926599237
,,,2.409384861
,,,-0.747923397
,,,0.897936686
,,,0.750870017
,,,-1.48427794
,,,0.176416103
,,,1.014596586
,,,-1.348497924
,,,-0.44764974
,,,0.87881657
,,,0.139859944
,,,-1.343275616
,,,0.43230921
,,,0.816148871
,,,1.659551663
,,,-0.337981266
,,,-0.102977392
,,,0.450587289
,,,-1.45294409
,,,0.980651582
,,,0.925817345
,,,-0.865434405
,,,0.069358782
,,,-0.07686585
,,,-1.272774453
,,,-0.80537786
,,,1.00415197
,,,-0.956824801
,,,-1.2074956
,,,0.10591494
,,,-0.951602492
,,,2.072114019
,,,-0.852378634
,,,0.635979234
,,,1.393213939
,,,-1.293260668
,,,-0.693891628
,,,-0.230426034
,,,0.84983212
,,,-0.794948036
,,,-0.728738666
,,,-1.707940411
,,,0.023957338
,,,-0.066644959
,,,-0.118915514
,,,0.626811082
,,,0.438637081
,,,-1.014484371
,,,-0.927366778
,,,1.550257568
,,,-1.261898335
,,,2.613092203
,,,-0.122400218
,,,-0.132854329
,,,-0.495263516
,,,-1.112056075
,,,-0.157247255
,,,1.017097899
,,,0.72786749
,,,-0.031797921
,,,-1.383862965
,,,0.309703043
,,,-0.22694133
,,,1.309813011
,,,1.696615124
,,,0.574540526
,,,0.762714527
